rank,year,title,page,tconst,worldwide
9,2021,Shang-Chi and the Legend of the Ten Rings,https://www.imdb.com/title/tt9376612/,tt9376612,"$432,243,292"
10,2021,Sing 2,https://www.imdb.com/title/tt6467266/,tt6467266,"$407,454,252"
11,2021,Eternals,https://www.imdb.com/title/tt9032400/,tt9032400,"$402,064,899"
12,2021,Dune,https://www.imdb.com/title/tt1160419/,tt1160419,"$401,847,900"
13,2021,Black Widow,https://www.imdb.com/title/tt3480822/,tt3480822,"$379,751,655"
14,2021,Free Guy,https://www.imdb.com/title/tt6264654/,tt6264654,"$331,526,598"
15,2021,A Quiet Place Part II,https://www.imdb.com/title/tt8332922/,tt8332922,"$297,372,261"
16,2021,Encanto,https://www.imdb.com/title/tt2953050/,tt2953050,"$256,786,742"
17,2021,Cruella,https://www.imdb.com/title/tt3228774/,tt3228774,"$233,503,234"
18,2021,"My Country, My Parents",https://www.imdb.com/title/tt15465312/,tt15465312,"$221,831,086"
19,2021,Jungle Cruise,https://www.imdb.com/title/tt0870154/,tt0870154,"$220,889,446"
20,2021,The Conjuring: The Devil Made Me Do It,https://www.imdb.com/title/tt7069210/,tt7069210,"$206,401,480"
21,2021,Raging Fire,https://www.imdb.com/title/tt8165192/,tt8165192,"$205,842,393"
22,2021,Ghostbusters: Afterlife,https://www.imdb.com/title/tt4513678/,tt4513678,"$204,334,455"
23,2021,Chinese Doctors,https://www.imdb.com/title/tt13696296/,tt13696296,"$197,143,218"
24,2021,Cliff Walkers,https://www.imdb.com/title/tt11448076/,tt11448076,"$181,325,565"
25,2021,The Suicide Squad,https://www.imdb.com/title/tt6334354/,tt6334354,"$168,657,565"
26,2021,Jujutsu Kaisen 0: The Movie,https://www.imdb.com/title/tt14331144/,tt14331144,"$166,112,236"
27,2021,Space Jam: A New Legacy,https://www.imdb.com/title/tt3554046/,tt3554046,"$163,732,928"
28,2021,The Matrix Resurrections,https://www.imdb.com/title/tt10838180/,tt10838180,"$157,297,525"
29,2021,Peter Rabbit 2: The Runaway,https://www.imdb.com/title/tt8376234/,tt8376234,"$153,901,717"
30,2021,House of Gucci,https://www.imdb.com/title/tt11214590/,tt11214590,"$153,256,235"
31,2021,A Writer's Odyssey,https://www.imdb.com/title/tt9685342/,tt9685342,"$150,123,320"
32,2021,The Boss Baby 2: Family Business,https://www.imdb.com/title/tt6932874/,tt6932874,"$146,745,280"
